title,company,location,stipend,detail_url,role_category,skills,cleaned_text,extracted_skills
API Development,JP IT STAFFING LLC,,"₹ 2,000 - 6,000 /month",https://internshala.com/internship/detail/work-from-home-api-development-internship-at-jp-it-staffing-llc1787026810,Web Developer,"Computer skills, English Proficiency (Spoken), English Proficiency (Written), Technical Analysis, Certificate, 5 days a week",computer skills english proficiency spoken english proficiency written technical analysis certificate 5 days a week,[]
Software Engineer (Full Stack AI/ML) - Global AI-Native Tech Talent Venture,SkillsCapital,,"₹ 20,000 - 30,001 /month",https://internshala.com/internship/detail/work-from-home-software-engineer-full-stack-ai-ml-global-ai-native-tech-talent-venture-internship-at-skillscapital1787050567,Web Developer,"Artificial intelligence, Backend development, Frontend development, Machine Learning, Node.js, React, Certificate, Letter of recommendation, 5 days a week, Job offer",artificial intelligence backend development frontend development machine learning node.js react certificate letter of recommendation 5 days a week job offer,"['machine learning', 'node.js', 'react']"
Backend Development,MCube AI Private Limited,,"₹ 25,000 - 40,000 /month",https://internshala.com/internship/detail/backend-development-internship-in-multiple-locations-at-mcube-ai-private-limited1787036740,Web Developer,"Algorithms, Data Structures, FastAPI, Git, HTTP, Problem Solving, PyTest, Python, REST API, Spring Boot, SQL, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer",algorithms data structures fastapi git http problem solving pytest python rest api spring boot sql certificate letter of recommendation flexible work hours 5 days a week job offer,"['api', 'git', 'problem solving', 'python', 'rest api', 'sql']"
Flutter Development,Argmac,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/flutter-development-internship-in-multiple-locations-at-argmac1787034762,Web Developer,"Android, CSS, Firebase, Flutter, HTML, iOS, JavaScript, Mobile Application Development, React, REST API, Web Design, Web development, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Free snacks & beverages",android css firebase flutter html ios javascript mobile application development react rest api web design web development certificate letter of recommendation flexible work hours informal dress code free snacks beverages,"['api', 'css', 'html', 'javascript', 'react', 'rest api']"
Software Development,Women First India Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-software-development-internship-at-women-first-india-foundation1787049913,Web Developer,".NET, C++ Programming, CSS, Effective Communication, HTML, Java, JavaScript, MySQL, Node.js, Python, React, Software Testing, Certificate, Letter of recommendation, Flexible work hours, Job offer",.net c++ programming css effective communication html java javascript mysql node.js python react software testing certificate letter of recommendation flexible work hours job offer,"['c++', 'css', 'html', 'java', 'javascript', 'mysql', 'node.js', 'python', 'react']"
AI Prompt Engineering,InAmigos Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-ai-prompt-engineering-internship-at-inamigos-foundation1787035109,Web Developer,"English Proficiency (Spoken), English Proficiency (Written), Web development, Certificate, Letter of recommendation, Flexible work hours",english proficiency spoken english proficiency written web development certificate letter of recommendation flexible work hours,[]
Front End Development,Basti Ki Pathshala Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-front-end-development-internship-at-basti-ki-pathshala-foundation1787049235,Web Developer,"HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer",html certificate letter of recommendation flexible work hours job offer,['html']
Full Stack Development,Adex Media Hub,,"₹ 8,000 - 10,000 /month",https://internshala.com/internship/detail/full-stack-development-internship-in-pune-at-adex-media-hub1787045654,Web Developer,"APIs, CSS, Effective Communication, GitHub, HTML, Interpersonal skills, JavaScript, Laravel, MongoDB, MySQL, Node.js, PHP, React, REST API, Certificate, Letter of recommendation",apis css effective communication github html interpersonal skills javascript laravel mongodb mysql node.js php react rest api certificate letter of recommendation,"['api', 'css', 'github', 'html', 'javascript', 'mongodb', 'mysql', 'node.js', 'php', 'react', 'rest api']"
Software Developer (Frontend Developer),Innow8,,"₹ 11,000 - 14,000 /month",https://internshala.com/internship/detail/software-developer-frontend-developer-internship-in-mohali-at-innow81787026999,Web Developer,"Angular, Bootstrap, CSS, CSS3, HTML, Java, JavaScript, Next.js, NoSQL, React, Sass, SQL, Tailwind CSS, TypeScript, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages, Job offer",angular bootstrap css css3 html java javascript next.js nosql react sass sql tailwind css typescript certificate letter of recommendation informal dress code free snacks beverages job offer,"['angular', 'bootstrap', 'css', 'html', 'java', 'javascript', 'next.js', 'react', 'sql', 'tailwind css', 'typescript']"
Software Development Engineering (Web),Chai Point,,"₹ 20,000 /month",https://internshala.com/internship/detail/software-development-engineering-web-internship-in-bangalore-at-chai-point1787038525,Web Developer,"Artificial intelligence, CSS, Document Management, HTML, Java, Python, Quality Assurance/Quality Control (QA/QC), Software Testing, Certificate, 5 days a week",artificial intelligence css document management html java python quality assurance quality control qa qc software testing certificate 5 days a week,"['css', 'html', 'java', 'python']"
Active CCNP Engineer,NTT DATA,,"₹ 10,000 /month",https://internshala.com/internship/detail/work-from-home-active-ccnp-engineer-internship-at-ntt-data1786948799,Web Developer,"CCNA, Computer Networking, Computer Networks, Certificate, Letter of recommendation",ccna computer networking computer networks certificate letter of recommendation,[]
Web Scraping,Smollan India,,"₹ 13,000 - 15,000 /month",https://internshala.com/internship/detail/work-from-home-web-scraping-internship-at-smollan-india1786527587,Web Developer,"BeautifulSoup, HTML, Python, Selenium, XPATH, Certificate, Flexible work hours, 5 days a week",beautifulsoup html python selenium xpath certificate flexible work hours 5 days a week,"['html', 'python']"
Software Development,TEN,,"₹ 2,000 /month",https://internshala.com/internship/detail/work-from-home-software-development-internship-at-ten1785048851,Web Developer,"Java, Node.js, Python, React, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",java node.js python react certificate letter of recommendation flexible work hours 5 days a week,"['java', 'node.js', 'python', 'react']"
Front End Development,Synergy Labs,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/front-end-development-internship-in-multiple-locations-at-synergy-labs1786004884,Web Developer,"CSS, HTML, JavaScript, Node.js, React",css html javascript node.js react,"['css', 'html', 'javascript', 'node.js', 'react']"
Front End Development,Assetcues Solutions Private Limited,,"₹ 7,000 - 10,000 /month",https://internshala.com/internship/detail/front-end-development-internship-in-ahmedabad-at-assetcues-solutions-private-limited1786087667,Web Developer,"CSS, Git, HTML, jQuery, Certificate",css git html jquery certificate,"['css', 'git', 'html', 'jquery']"
